lattice_size,L,repeat,seed,T,burn_in_cycles,production_cycles,production_steps_recorded,acceptance_rate,E_per_spin,E2_per_spin2,M_per_spin,M2_per_spin2,abs_M_per_spin,C_per_spin,chi_per_spin
2x2,2,0,206000,0.25,100,300,1200,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
2x2,2,0,206001,0.5,100,300,1200,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
2x2,2,0,206002,0.75,100,300,1200,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
2x2,2,0,206003,1.0,100,300,1200,0.0025,-1.9933333333333334,3.986666666666667,0.38708333333333333,0.9972916666666667,0.38708333333333333,0.05315555555555562,3.389832638888889
2x2,2,0,206004,1.25,100,300,1200,0.00375,-1.995,3.99,0.99875,0.998125,0.99875,0.025535999999999604,0.001994999999999791
2x2,2,0,206005,1.5,100,300,1200,0.0175,-1.9516666666666667,3.9033333333333333,-0.14541666666666667,0.9802083333333333,0.14541666666666667,0.16769876543209883,2.557499537037037
2x2,2,0,206006,1.75,100,300,1200,0.03375,-1.935,3.87,0.20083333333333334,0.9729166666666667,0.20083333333333334,0.1642775510204081,2.1316174603174605
2x2,2,0,206007,1.8,100,300,1200,0.10875,-1.7716666666666667,3.5433333333333334,-0.21625,0.904375,0.21625,0.499420438957476,1.9058020833333333
2x2,2,0,206008,1.9,100,300,1200,0.08125,-1.7916666666666667,3.59,0.185,0.9141666666666667,0.185,0.4209756848261,1.8525087719298248
2x2,2,0,206009,2.0,100,300,1200,0.1225,-1.7366666666666666,3.473333333333333,0.06333333333333334,0.89,0.06333333333333334,0.4573222222222224,1.7719777777777779
2x2,2,0,206010,2.1,100,300,1200,0.12625,-1.7683333333333333,3.5433333333333334,-0.052083333333333336,0.904375,0.052083333333333336,0.37762408667170577,1.7174520502645503
2x2,2,0,206011,2.2,100,300,1200,0.12,-1.7866666666666666,3.58,-0.027083333333333334,0.9122916666666666,0.027083333333333334,0.32051423324150596,1.657378472222222
2x2,2,0,206012,2.3,100,300,1200,0.145,-1.77,3.546666666666667,0.15375,0.9060416666666666,0.15375,0.3128670447385003,1.5346132246376811
2x2,2,0,206013,2.4,100,300,1200,0.20375,-1.5583333333333333,3.13,0.13,0.8170833333333334,0.13,0.4872202932098764,1.333638888888889
2x2,2,0,206014,2.5,100,300,1200,0.215,-1.5683333333333334,3.15,0.08958333333333333,0.8210416666666667,0.08958333333333333,0.44181155555555535,1.300826388888889
2x2,2,0,206015,2.6,100,300,1200,0.21,-1.625,3.27,0.13666666666666666,0.8454166666666667,0.13666666666666666,0.3724112426035503,1.271905982905983
2x2,2,0,206016,2.7,100,300,1200,0.2225,-1.54,3.0933333333333333,-0.12958333333333333,0.809375,0.12958333333333333,0.39601280292638313,1.1741972736625512
2x2,2,0,206017,2.8,100,300,1200,0.28625,-1.425,2.85,0.15375,0.758125,0.15375,0.41804846938775514,1.049265625
2x2,2,0,206018,3.0,100,300,1200,0.3025,-1.37,2.76,-0.16708333333333333,0.7402083333333334,0.16708333333333333,0.39248888888888867,0.9497219907407408
2x2,2,0,206019,3.25,100,300,1200,0.343125,-1.27,2.62,-0.12708333333333333,0.7010416666666667,0.12708333333333333,0.38138698224852075,0.842943376068376
2x2,2,0,206020,3.5,100,300,1200,0.360625,-1.2633333333333334,2.5866666666666664,-0.18083333333333335,0.6991666666666667,0.18083333333333335,0.323479365079365,0.7616753968253969
2x2,2,0,206021,4.0,100,300,1200,0.483125,-1.035,2.19,-0.18833333333333332,0.6075,0.18833333333333332,0.27969375,0.5720305555555556
2x2,2,0,206022,4.5,100,300,1200,0.57625,-0.8516666666666667,1.81,-0.09625,0.5289583333333333,0.09625,0.21425459533607683,0.46195046296296294
2x2,2,0,206023,5.0,100,300,1200,0.616875,-0.67,1.5266666666666666,0.0004166666666666667,0.45895833333333336,0.0004166666666666667,0.17244266666666663,0.3671665277777778
2x2,2,1,207000,0.25,100,300,1200,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
2x2,2,1,207001,0.5,100,300,1200,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
2x2,2,1,207002,0.75,100,300,1200,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
2x2,2,1,207003,1.0,100,300,1200,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
2x2,2,1,207004,1.25,100,300,1200,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
2x2,2,1,207005,1.5,100,300,1200,0.04,-1.8966666666666667,3.7933333333333334,0.13583333333333333,0.9570833333333333,0.13583333333333333,0.3484246913580249,2.50302037037037
2x2,2,1,207006,1.75,100,300,1200,0.0575,-1.8633333333333333,3.7266666666666666,-0.07958333333333334,0.9435416666666666,0.07958333333333334,0.3326113378684811,2.142190079365079
2x2,2,1,207007,1.8,100,300,1200,0.045,-1.895,3.79,-0.6279166666666667,0.956875,0.6279166666666667,0.245648148148148,1.250212577160494
2x2,2,1,207008,1.9,100,300,1200,0.06875,-1.855,3.71,-0.6825,0.9395833333333333,0.6825,0.2980332409972301,0.9974254385964914
2x2,2,1,207009,2.0,100,300,1200,0.09375,-1.765,3.53,-0.6133333333333333,0.9016666666666666,0.6133333333333333,0.4147750000000001,1.0509777777777778
2x2,2,1,207010,2.1,100,300,1200,0.09875,-1.8333333333333333,3.6666666666666665,0.08083333333333333,0.9308333333333333,0.08083333333333333,0.27714789619551544,1.7605701058201058
2x2,2,1,207011,2.2,100,300,1200,0.165,-1.6566666666666667,3.3133333333333335,-0.17833333333333334,0.8558333333333333,0.17833333333333334,0.47007346189164356,1.4982373737373738
2x2,2,1,207012,2.3,100,300,1200,0.13375,-1.715,3.4366666666666665,0.25625,0.8822916666666667,0.25625,0.37462507876496515,1.4202219202898552
2x2,2,1,207013,2.4,100,300,1200,0.1525,-1.6766666666666667,3.36,-0.009166666666666667,0.8654166666666666,0.009166666666666667,0.381103395061728,1.4422210648148146
