lattice_size,L,repeat,seed,T,burn_in_cycles,production_cycles,production_steps_recorded,acceptance_rate,E_per_spin,E2_per_spin2,M_per_spin,M2_per_spin2,abs_M_per_spin,C_per_spin,chi_per_spin
8x8,8,2,807012,2.3,300,700,44800,0.185390625,-1.4344545200892858,2.1446227155412947,0.40907924107142857,0.6018612670898438,0.40907924107142857,1.0521036864932996,12.090864462310062
8x8,8,2,807013,2.4,300,700,44800,0.22840625,-1.3044921875,1.800098353794643,0.03206263950892857,0.4822959899902344,0.03206263950892857,1.093316517178976,12.833812723678797
8x8,8,2,807014,2.5,300,700,44800,0.28140625,-1.2318917410714285,1.6159354073660714,0.5216064453125,0.4426647731236049,0.5216064453125,1.0073922114158176,4.367142126900809
8x8,8,2,807015,2.6,300,700,44800,0.306265625,-1.1520689174107144,1.4195472063337053,-0.004827008928571429,0.37826381138392856,0.004827008928571429,0.8736986117851829,9.310535664461096
8x8,8,2,807016,2.7,300,700,44800,0.371046875,-1.0083175223214285,1.0988232421875,0.07843680245535714,0.2784015546526228,0.07843680245535714,0.7209351231128714,6.453314907809234
8x8,8,2,807017,2.8,300,700,44800,0.375375,-1.0150725446428572,1.1201858956473214,0.20656040736607142,0.2818339538574219,0.20656040736607142,0.7331724470171102,5.466668616369932
8x8,8,2,807018,3.0,300,700,44800,0.449375,-0.8438685825892858,0.7758336530412946,-0.06760393415178571,0.16105767386300224,0.06760393415178571,0.4531162194492045,3.338397481604336
8x8,8,2,807019,3.25,300,700,44800,0.510578125,-0.7252720424107143,0.5790453229631697,-0.03748744419642857,0.11213187081473214,0.03748744419642857,0.321292345323161,2.1804615353570815
8x8,8,2,807020,3.5,300,700,44800,0.538328125,-0.6737583705357143,0.5097802734375,-0.03660923549107143,0.10513102940150669,0.03660923549107143,0.29168290779720674,1.8978887913740063
8x8,8,2,807021,4.0,300,700,44800,0.60946875,-0.55744140625,0.35412336077008927,0.04501395089285714,0.07509486607142857,0.04501395089285714,0.1735297574724466,1.1690977647431042
8x8,8,2,807022,4.5,300,700,44800,0.657203125,-0.480419921875,0.27213387625558033,-0.0418603515625,0.05123323713030134,0.0418603515625,0.1306250269114445,0.7037290396069724
8x8,8,2,807023,5.0,300,700,44800,0.69221875,-0.4365053013392857,0.2307525634765625,-0.0016489955357142858,0.046836111886160714,0.0016489955357142858,0.10295215457091039,0.599467426558514
8x8,8,3,808000,0.25,300,700,44800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
8x8,8,3,808001,0.5,300,700,44800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
8x8,8,3,808002,0.75,300,700,44800,9.375e-05,-1.99900390625,3.99614013671875,0.9997509765625,0.9995097351074219,0.9997509765625,0.01405377604169189,0.0006587707519543073
8x8,8,3,808003,1.0,300,700,44800,0.0006875,-1.9977915736607144,3.991458827427455,0.9994259207589286,0.9988725280761719,0.9994259207589286,0.018409960812903137,0.0013028474457428274
8x8,8,3,808004,1.25,300,700,44800,0.0045625,-1.9871065848214287,3.9502596609933036,0.9966594587053571,0.9934478105817522,0.9966594587053571,0.06828366039539105,0.006027978490715213
8x8,8,3,808005,1.5,300,700,44800,0.013015625,-1.95326171875,3.821032889229911,0.9875725446428572,0.9757421875,0.9875725446428572,0.1650217897445398,0.018886680218959857
8x8,8,3,808006,1.75,300,700,44800,0.032234375,-1.8876213727678572,3.581033673967634,0.9667954799107142,0.9368221609933036,0.9667954799107142,0.3744752752352409,0.07784817435484927
8x8,8,3,808007,1.8,300,700,44800,0.04025,-1.8638295200892858,3.493979230608259,0.9588734654017858,0.9219743347167969,0.9588734654017858,0.3974074202864499,0.09016931787261484
8x8,8,3,808008,1.9,300,700,44800,0.058984375,-1.7998674665178571,3.2694193812779018,0.9373995535714286,0.8828372628348214,0.9373995535714286,0.5300207733804736,0.13875670901584453
8x8,8,3,808009,2.0,300,700,44800,0.082578125,-1.7565569196428572,3.129861188616071,0.9190025111607143,0.8525887189592634,0.9190025111607143,0.7099036267338903,0.25673931006606665
8x8,8,3,808010,2.1,300,700,44800,0.107625,-1.6544252232142858,2.796666782924107,0.8689906529017857,0.7742733546665737,0.8689906529017857,0.864130085681163,0.5829668521417714
8x8,8,3,808011,2.2,300,700,44800,0.1253125,-1.635283203125,2.7347020612444197,0.8653864397321429,0.7653544398716517,0.8653864397321429,0.8006731480550034,0.47885817598190394
8x8,8,3,808012,2.3,300,700,44800,0.17784375,-1.4448395647321428,2.195483660016741,0.7375885881696429,0.6064774649483817,0.7375885881696429,1.3056761249315472,1.7374758831386325
8x8,8,3,808013,2.4,300,700,44800,0.211515625,-1.3846079799107143,2.0171324811662945,0.31235072544642856,0.5724928937639508,0.31235072544642856,1.1110358125985067,12.664797815387752
8x8,8,3,808014,2.5,300,700,44800,0.268578125,-1.229136439732143,1.6141963413783482,0.05341029575892857,0.43320297241210937,0.05341029575892857,1.0590203279456296,11.016968005607762
8x8,8,3,808015,2.6,300,700,44800,0.331140625,-1.0734235491071429,1.2462913295200893,0.018680943080357143,0.2992552185058594,0.018680943080357143,0.8904446271461722,7.357692082990471
8x8,8,3,808016,2.7,300,700,44800,0.360796875,-1.0169838169642857,1.1284014020647322,0.05989676339285714,0.2834379359654018,0.05989676339285714,0.8265158241754449,6.633488917344281
8x8,8,3,808017,2.8,300,700,44800,0.3835,-0.9769154575892857,1.0360176304408482,0.09912039620535715,0.255651615687779,0.09912039620535715,0.6665617890935899,5.618897434145647
8x8,8,3,808018,3.0,300,700,44800,0.463984375,-0.8040066964285715,0.7101180594308035,-0.0053759765625,0.15433090209960937,0.0053759765625,0.452915850871598,3.291776020812988
8x8,8,3,808019,3.25,300,700,44800,0.50459375,-0.7512681361607143,0.6176875523158483,0.024710518973214284,0.12473852975027902,0.024710518973214284,0.32285532345080215,2.4443651938924984
8x8,8,3,808020,3.5,300,700,44800,0.5478125,-0.6687262834821428,0.4995489501953125,0.08457728794642858,0.11269997732979911,0.08457728794642858,0.27352350289226834,1.9299960629655044
8x8,8,3,808021,4.0,300,700,44800,0.611671875,-0.5427301897321428,0.3390298025948661,-0.01021484375,0.0696488298688616,0.01021484375,0.17789497499271345,1.112711789376395
8x8,8,3,808022,4.5,300,700,44800,0.6576875,-0.4926729910714286,0.2836994280133929,0.006173270089285714,0.05474142892020089,0.006173270089285714,0.12949412940523436,0.7780027684495021
