lattice_size,L,repeat,seed,T,burn_in_cycles,production_cycles,production_steps_recorded,acceptance_rate,E_per_spin,E2_per_spin2,M_per_spin,M2_per_spin2,abs_M_per_spin,C_per_spin,chi_per_spin
32x32,32,0,3206000,0.25,100,300,307200,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
32x32,32,0,3206001,0.5,100,300,307200,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
32x32,32,0,3206002,0.75,100,300,307200,3.41796875e-05,-1.999880828857422,3.999524246454239,0.9999702072143555,0.9999404726177454,0.9999702072143555,0.001669024954834539,7.823554475786902e-05
32x32,32,0,3206003,1.0,100,300,307200,0.00080810546875,-1.9967931238810221,3.9872132652501264,0.9991777356465658,0.9983581945920984,0.9991777356465658,0.03121732771387542,0.0020963126271453802
32x32,32,0,3206004,1.25,100,300,307200,0.00388671875,-1.9843836466471354,3.937917139629523,0.9959077707926433,0.9918427485475938,0.9959077707926433,0.09088699527346762,0.008569341887869087
32x32,32,0,3206005,1.5,100,300,307200,0.0130126953125,-1.954021504720052,3.818609032233556,0.9873981094360351,0.9749901054302851,0.9873981094360351,0.1861364964192439,0.023947204217999268
32x32,32,0,3206006,1.75,100,300,307200,0.0341259765625,-1.8799057261149088,3.5352230696876843,0.9643315060933431,0.9300725751246015,0.9643315060933431,0.3937277853567918,0.08035268335684773
32x32,32,0,3206007,1.8,100,300,307200,0.0416259765625,-1.8579851404825847,3.4533627110222977,0.9565177154541016,0.9151031711449226,0.9565177154541016,0.39630341316198586,0.10071106411455982
32x32,32,0,3206008,1.9,100,300,307200,0.0570849609375,-1.8125427627563477,3.2872661883135637,0.9403371238708496,0.884525183973213,0.9403371238708496,0.5545262074751779,0.15698321166095602
32x32,32,0,3206009,2.0,100,300,307200,0.0774609375,-1.7485379028320311,3.0608145917455354,0.9137251853942872,0.8355867391203841,0.9137251853942872,0.8780272909561972,0.3548286446385305
32x32,32,0,3206010,2.1,100,300,307200,0.10404541015625,-1.6631861623128255,2.7704040520389874,0.873769474029541,0.7647150327141087,0.873769474029541,0.9789164913483397,0.6055930968980625
32x32,32,0,3206011,2.2,100,300,307200,0.14634765625,-1.5603512446085612,2.4423952468732995,0.8020404624938965,0.6490651740506291,0.8020404624938965,1.628930183788586,2.697900484983041
32x32,32,0,3206012,2.3,100,300,307200,0.2034765625,-1.4085457356770834,1.989969845811526,0.7026972007751465,0.4998120196536183,0.7026972007751465,1.155388746511968,2.684065915054396
32x32,32,0,3206013,2.4,100,300,307200,0.24887939453125,-1.2699174499511718,1.6189938608805339,0.5026370239257812,0.2826772357771794,0.5026370239257812,1.1206277671194285,12.81419006131756
32x32,32,0,3206014,2.5,100,300,307200,0.311630859375,-1.120680758158366,1.2609916249414286,0.17463641484578452,0.07799388183901708,0.17463641484578452,0.8300565684254616,19.454363422240004
32x32,32,0,3206015,2.6,100,300,307200,0.35353271484375,-1.0274497731526693,1.0600324582060179,0.1611204783121745,0.033704312965273854,0.1611204783121745,0.6633917128780219,3.050143284669032
