lattice_size,L,repeat,seed,T,burn_in_cycles,production_cycles,production_steps_recorded,acceptance_rate,E_per_spin,E2_per_spin2,M_per_spin,M2_per_spin2,abs_M_per_spin,C_per_spin,chi_per_spin
4x4,4,0,406000,0.25,100,300,4800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
4x4,4,0,406001,0.5,100,300,4800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
4x4,4,0,406002,0.75,100,300,4800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
4x4,4,0,406003,1.0,100,300,4800,0.0021875,-1.9926041666666667,3.9741145833333333,0.9981510416666667,0.996533203125,0.9981510416666667,0.058291493055548926,0.003643218315971808
4x4,4,0,406004,1.25,100,300,4800,0.005,-1.9883333333333333,3.959322916666667,0.99703125,0.9944596354166667,0.99703125,0.05993955555556113,0.00497052083333358
4x4,4,0,406005,1.5,100,300,4800,0.013125,-1.94921875,3.8267838541666666,0.9862760416666667,0.975009765625,0.9862760416666667,0.19434751157407326,0.024206242766202497
4x4,4,0,406006,1.75,100,300,4800,0.030625,-1.91953125,3.723841145833333,0.9785416666666666,0.960546875,0.9785416666666666,0.20501381802721055,0.027456746031746655
4x4,4,0,406007,1.8,100,300,4800,0.04875,-1.8386458333333333,3.494296875,-0.39026041666666667,0.913125,0.39026041666666667,0.5613746892146774,6.762860508294753
4x4,4,0,406008,1.9,100,300,4800,0.06671875,-1.7624479166666667,3.2520703125,0.8561979166666667,0.87474609375,0.8561979166666667,0.6464161929632192,1.1930208104897657
4x4,4,0,406009,2.0,100,300,4800,0.08875,-1.7155208333333334,3.088567708333333,-0.90953125,0.8491796875,0.90953125,0.5822239149305535,0.17546074218749919
4x4,4,0,406010,2.1,100,300,4800,0.0909375,-1.7055208333333334,3.076979166666667,-0.23942708333333335,0.84431640625,0.23942708333333335,0.6101690838372383,5.99612249917328
4x4,4,0,406011,2.2,100,300,4800,0.13125,-1.6102083333333332,2.806380208333333,-0.555703125,0.7817220052083333,0.555703125,0.7061465507346197,3.439389396898674
4x4,4,0,406012,2.3,100,300,4800,0.16125,-1.4648958333333333,2.4222916666666667,-0.6562239583333334,0.7003743489583333,0.6562239583333334,0.8359073395820208,1.8764832380359295
4x4,4,0,406013,2.4,100,300,4800,0.16796875,-1.54109375,2.6255598958333333,-0.679296875,0.748505859375,0.679296875,0.6960831931785304,1.9137440999348958
4x4,4,0,406014,2.5,100,300,4800,0.21828125,-1.37171875,2.1924348958333333,0.1421875,0.651328125,0.1421875,0.7957057708333326,4.039109375000001
4x4,4,0,406015,2.6,100,300,4800,0.2921875,-1.1897916666666666,1.7526302083333334,-0.018489583333333334,0.5453841145833334,0.018489583333333334,0.797694670447075,3.3541061531784186
4x4,4,0,406016,2.7,100,300,4800,0.3140625,-1.1980208333333333,1.8046614583333334,0.12846354166666665,0.548916015625,0.12846354166666665,0.8107710095640909,3.155040794592335
4x4,4,0,406017,2.8,100,300,4800,0.3365625,-1.08140625,1.5413151041666666,0.029427083333333333,0.4850390625,0.029427083333333333,0.7589298502604173,2.7667034815228178
4x4,4,0,406018,3.0,100,300,4800,0.40109375,-0.9484895833333333,1.2257942708333334,0.117578125,0.410263671875,0.117578125,0.5798431664737654,2.1143416341145835
4x4,4,0,406019,3.25,100,300,4800,0.48453125,-0.7995833333333333,0.9672395833333334,0.09036458333333333,0.34322265625,0.09036458333333333,0.4967097961867193,1.6495108840811965
4x4,4,0,406020,3.5,100,300,4800,0.54046875,-0.7002083333333333,0.7556770833333334,-0.07674479166666667,0.281123046875,0.07674479166666667,0.3466257936507937,1.2582092974950396
4x4,4,0,406021,4.0,100,300,4800,0.60125,-0.5809375,0.5563541666666667,-0.013072916666666667,0.23057942708333334,0.013072916666666667,0.2188657877604167,0.9216341037326389
4x4,4,0,406022,4.5,100,300,4800,0.62984375,-0.55515625,0.5424088541666666,-0.168203125,0.233427734375,0.168203125,0.18505512474279828,0.7293704644097222
4x4,4,0,406023,5.0,100,300,4800,0.698125,-0.3963541666666667,0.33109375,-0.006432291666666667,0.15767903645833334,0.006432291666666667,0.11135815972222224,0.5044405186631945
4x4,4,1,407000,0.25,100,300,4800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
4x4,4,1,407001,0.5,100,300,4800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
4x4,4,1,407002,0.75,100,300,4800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
4x4,4,1,407003,1.0,100,300,4800,0.0003125,-1.9972916666666667,3.9905208333333335,0.9993229166666666,0.99873046875,0.9993229166666666,0.021549305555559783,0.001346831597224707
4x4,4,1,407004,1.25,100,300,4800,0.00375,-1.9851041666666667,3.9478645833333332,0.9962760416666666,0.993017578125,0.9962760416666666,0.07399455555555505,0.0057808246527798705
4x4,4,1,407005,1.5,100,300,4800,0.01703125,-1.9171354166666668,3.7320963541666665,0.9738020833333333,0.9561458333333334,0.9738020833333333,0.4031157214506133,0.08379024884259323
4x4,4,1,407006,1.75,100,300,4800,0.0440625,-1.86015625,3.5477473958333334,0.956484375,0.926787109375,0.956484375,0.45748830782312955,0.10902628348214145
4x4,4,1,407007,1.8,100,300,4800,0.0328125,-1.88546875,3.6211067708333333,0.9676041666666667,0.9423307291666667,0.9676041666666667,0.32649068447788,0.053981385030863964
4x4,4,1,407008,1.9,100,300,4800,0.05625,-1.8058854166666667,3.3808463541666667,0.9358333333333333,0.8978450520833333,0.9358333333333333,0.5301904311903655,0.18577704678362583
4x4,4,1,407009,2.0,100,300,4800,0.0821875,-1.6818229166666667,3.0044401041666666,0.8936979166666666,0.8280729166666667,0.8936979166666666,0.7036471245659719,0.2350156032986117
4x4,4,1,407010,2.1,100,300,4800,0.09125,-1.7265625,3.1411458333333333,0.9085677083333333,0.8543912760416666,0.9085677083333333,0.5809624196900981,0.2201599650710973
4x4,4,1,407011,2.2,100,300,4800,0.16375,-1.4904166666666667,2.5476302083333335,-0.37643229166666664,0.713955078125,0.37643229166666664,1.0786392332415065,4.161845875749685
4x4,4,1,407012,2.3,100,300,4800,0.14609375,-1.5245833333333334,2.556328125,0.09848958333333334,0.7408528645833333,0.09848958333333334,0.7016220331863045,5.086279419535025
4x4,4,1,407013,2.4,100,300,4800,0.15328125,-1.52796875,2.5910546875,0.8215885416666666,0.7401009114583333,0.8215885416666666,0.7121282958984362,0.43395453106915544
4x4,4,1,407014,2.5,100,300,4800,0.195625,-1.484375,2.4512760416666666,0.71265625,0.72134765625,0.71265625,0.6346416666666664,1.3661998437499996
4x4,4,1,407015,2.6,100,300,4800,0.2215625,-1.340625,2.115572916666667,-0.24794270833333334,0.636787109375,0.24794270833333334,0.7533669255424069,3.540378601595887
