cycle,E_per_spin,M_per_spin
255,-1.75,-0.875
256,-1.6875,-0.90625
257,-1.75,-0.9375
258,-1.75,-0.9375
259,-1.8125,-0.9375
260,-1.875,-0.96875
261,-2,-1
262,-2,-1
263,-2,-1
264,-2,-1
265,-1.75,-0.9375
266,-1.5625,-0.875
267,-1.25,-0.8125
268,-1.375,-0.78125
269,-1.4375,-0.78125
270,-1.4375,-0.78125
271,-1.5,-0.84375
272,-1.625,-0.90625
273,-1.75,-0.9375
274,-1.6875,-0.90625
275,-1.75,-0.9375
276,-1.375,-0.8125
277,-1.1875,-0.625
278,-0.9375,-0.625
279,-1,-0.34375
280,-1.0625,0
281,-1.1875,-0.09375
282,-1.125,0
283,-1.25,0.0625
284,-1.125,0.1875
285,-0.9375,0.09375
286,-1.0625,0.03125
287,-1.125,0.03125
288,-0.9375,-0.28125
289,-1.0625,-0.40625
290,-0.875,-0.125
291,-1.1875,-0.28125
292,-1.25,-0.5625
293,-1.3125,-0.5625
294,-1.25,-0.65625
295,-1.4375,-0.59375
296,-1.25,-0.59375
297,-1.4375,-0.71875
298,-1.375,-0.65625
299,-1.25,-0.65625
300,-1.375,-0.59375
301,-1.0625,-0.40625
302,-1.25,-0.40625
303,-0.75,-0.46875
304,-1.125,-0.59375
305,-0.9375,-0.46875
306,-1.0625,-0.5
307,-1.1875,-0.46875
308,-1.25,-0.5625
309,-1.0625,-0.5625
310,-0.9375,-0.46875
311,-1.375,-0.8125
312,-1.75,-0.90625
313,-1.375,-0.78125
314,-1.1875,-0.75
315,-1.125,-0.625
316,-1.3125,-0.6875
317,-1.5,-0.84375
318,-1.5,-0.78125
319,-1.6875,-0.84375
320,-1.875,-0.96875
321,-1.875,-0.96875
322,-1.5,-0.84375
323,-1.375,-0.78125
324,-1.4375,-0.84375
325,-1.5625,-0.875
326,-1.75,-0.875
327,-1.5,-0.84375
328,-1.4375,-0.84375
329,-1.3125,-0.78125
330,-1.1875,-0.71875
331,-1.6875,-0.90625
332,-1.875,-0.96875
333,-1.875,-0.96875
334,-1.875,-0.96875
335,-1.625,-0.90625
336,-1.625,-0.875
337,-1.5,-0.875
338,-1.75,-0.9375
339,-1.75,-0.9375
340,-1.625,-0.90625
341,-1.75,-0.875
342,-1.6875,-0.90625
343,-1.875,-0.96875
344,-1.5,-0.875
345,-1.25,-0.75
346,-1.25,-0.75
347,-1.6875,-0.90625
348,-1.875,-0.96875
349,-1.875,-0.96875
350,-1.5625,-0.84375
351,-1.625,-0.90625
352,-1.4375,-0.84375
353,-1.625,-0.875
354,-1.75,-0.9375
355,-1.75,-0.9375
356,-1.8125,-0.9375
357,-1.75,-0.9375
358,-1.625,-0.8125
359,-1.625,-0.78125
360,-1.5,-0.84375
361,-1.625,-0.90625
362,-1.625,-0.875
363,-1.5625,-0.875
364,-1.4375,-0.8125
365,-1.5,-0.84375
366,-1.6875,-0.90625
367,-1.25,-0.75
368,-1.3125,-0.8125
369,-1.375,-0.8125
370,-1.625,-0.90625
371,-1.5,-0.84375
372,-1.4375,-0.84375
373,-1.6875,-0.875
374,-1.75,-0.90625
375,-2,-1
376,-2,-1
377,-1.6875,-0.90625
378,-1.5625,-0.875
379,-1.875,-0.96875
380,-1.6875,-0.90625
381,-1.6875,-0.90625
382,-1.875,-0.96875
383,-1.875,-0.96875
384,-1.625,-0.90625
385,-1.625,-0.875
386,-1.5,-0.875
387,-1.375,-0.8125
388,-1.625,-0.875
389,-1.75,-0.9375
390,-1.75,-0.9375
391,-1.375,-0.84375
392,-1.25,-0.71875
393,-1.5,-0.78125
394,-1.25,-0.75
395,-1.4375,-0.78125
396,-1.4375,-0.84375
397,-1.5625,-0.84375
398,-1.625,-0.78125
399,-1.625,-0.90625
400,-2,-1
401,-1.875,-0.96875
402,-1.75,-0.9375
403,-1.875,-0.96875
404,-1.5625,-0.875
405,-1.75,-0.9375
406,-1.6875,-0.90625
407,-2,-1
408,-2,-1
409,-1.875,-0.96875
410,-1.8125,-0.9375
411,-1.5625,-0.84375
412,-1.6875,-0.8125
413,-1.625,-0.84375
414,-1.4375,-0.75
415,-1.5,-0.78125
416,-1.6875,-0.875
417,-1.75,-0.9375
418,-1.375,-0.78125
419,-1.5,-0.875
420,-1.5625,-0.78125
421,-1.5,-0.625
422,-1.5,-0.78125
423,-1.5625,-0.8125
424,-1.8125,-0.9375
425,-1.625,-0.90625
426,-2,-1
427,-2,-1
428,-1.8125,-0.9375
429,-2,-1
430,-1.375,-0.84375
431,-1.5625,-0.875
432,-1.3125,-0.71875
433,-1.5,-0.75
434,-1.5,-0.84375
435,-1.375,-0.8125
436,-1.5,-0.84375
437,-1.5,-0.84375
438,-1.375,-0.8125
439,-1.3125,-0.8125
440,-1.375,-0.75
441,-1.375,-0.8125
442,-1.1875,-0.6875
443,-1.1875,-0.71875
444,-1,-0.5625
445,-1.125,-0.4375
446,-1.125,-0.3125
447,-1.1875,-0.1875
448,-1.1875,-0.0625
449,-1.375,-0.15625
450,-0.9375,-0.15625
451,-0.8125,-0.46875
452,-1,-0.625
453,-0.8125,-0.625
454,-1.375,-0.75
455,-1.5625,-0.875
456,-1.75,-0.9375
457,-1.625,-0.90625
458,-1.5,-0.84375
459,-1.625,-0.78125
460,-1.3125,-0.625
461,-1.5,-0.78125
462,-1.3125,-0.71875
463,-1.5625,-0.78125
464,-1.5,-0.84375
465,-1.875,-0.96875
466,-1.875,-0.96875
467,-1.75,-0.9375
468,-1.75,-0.9375
469,-2,-1
470,-2,-1
471,-1.875,-0.96875
472,-1.4375,-0.8125
473,-1.5625,-0.78125
474,-1.375,-0.8125
475,-1.625,-0.84375
476,-1.4375,-0.8125
477,-1.25,-0.8125
478,-1.375,-0.8125
479,-1.125,-0.625
480,-1.25,-0.65625
481,-1.3125,-0.75
482,-1.3125,-0.65625
483,-1.75,-0.90625
484,-1.6875,-0.90625
