2.500000000000000000e-01 -2.000000000000000000e+00 4.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e-01 -1.999998508029513955e+00 3.999994078742133308e+00 9.999996270073784332e-01 9.999992569287617927e-01 4.773621746304949209e-05
7.500000000000000000e-01 -1.999837239583333259e+00 3.999354044596354019e+00 9.999593098958333703e-01 9.999189376831054688e-01 2.301790816528847747e-03
1.000000000000000000e+00 -1.996814507378472214e+00 3.987373224894205759e+00 9.991895209418403256e-01 9.983866728676690228e-01 2.675215427969608942e-02
1.250000000000000000e+00 -1.984384223090277510e+00 3.938296680450439791e+00 9.958584933810764594e-01 9.917742199367948208e-01 8.446526356793281065e-02
1.500000000000000000e+00 -1.953528442382812536e+00 3.818025068706936143e+00 9.871306694878473342e-01 9.745865122477214149e-01 1.970716657583748421e-01
1.750000000000000000e+00 -1.877027384440103974e+00 3.528392629623413157e+00 9.627649943033853575e-01 9.275654853714837556e-01 4.114150183241584990e-01
1.800000000000000044e+00 -1.863875122070312473e+00 3.478748523924085845e+00 9.591015285915798216e-01 9.205202470885383015e-01 3.691724630518207206e-01
1.899999999999999911e+00 -1.817539672851562260e+00 3.311391308042738402e+00 9.420906914605033933e-01 8.887366233931647264e-01 5.627869889106739132e-01
2.000000000000000000e+00 -1.752639295789930607e+00 3.083090082804362364e+00 9.152069430881075718e-01 8.399714313613043659e-01 7.089764895174065495e-01
2.100000000000000089e+00 -1.654314439561632044e+00 2.753672054078843967e+00 8.582467990451388973e-01 7.462540234459771327e-01 9.686706702635232702e-01
2.200000000000000178e+00 -1.533023139105902821e+00 2.375142996046278210e+00 7.829805840386284688e-01 6.321708268589444346e-01 1.305425689498467490e+00
2.299999999999999822e+00 -1.392318386501736116e+00 1.973467299143473186e+00 6.476262410481771203e-01 4.842016704877217248e-01 1.249940896754358599e+00
2.399999999999999911e+00 -1.251878051757812527e+00 1.600200001398722316e+00 7.612152099609376110e-02 3.087347282303704032e-01 1.252248235334468829e+00
2.500000000000000000e+00 -1.187134941948784883e+00 1.438560836580064617e+00 2.663923814561631742e-01 2.880580152405632921e-01 1.146017891164710756e+00
2.600000000000000089e+00 -1.060078057183159617e+00 1.149053068161010716e+00 -6.575195312499999833e-02 1.699761915206909058e-01 9.315219083225296792e-01
2.700000000000000178e+00 -9.546367051866319065e-01 9.259009689754910122e-01 1.076304117838541678e-02 7.498877869711982613e-02 4.889995393640183541e-01
2.799999999999999822e+00 -9.138672553168403212e-01 8.513225756751165996e-01 -2.590165879991319572e-02 7.192688226699829601e-02 5.248572702360049247e-01
3.000000000000000000e+00 -8.110314263237846655e-01 6.712924607594809023e-01 4.274190266927084363e-03 4.616816388236152230e-02 3.803667414461129326e-01
3.250000000000000000e+00 -7.305451795789931202e-01 5.458023526933458713e-01 -8.959825303819442949e-03 2.910215218861897726e-02 2.901294447227348861e-01
3.500000000000000000e+00 -6.669300672743054825e-01 4.574456151326497522e-01 -4.443054199218747502e-03 2.558360656102498520e-02 2.591682704167212470e-01
4.000000000000000000e+00 -5.598194715711805047e-01 3.234306165907118169e-01 -2.960205078125025330e-05 1.725310458077324721e-02 1.601255340827837659e-01
4.500000000000000000e+00 -4.826675754123264106e-01 2.427725209130181250e-01 -1.241136338975694364e-02 1.198445320129394587e-02 1.228295895596099446e-01
5.000000000000000000e+00 -4.257373046874999845e-01 1.902996868557399746e-01 -3.858574761284722359e-03 1.128397305806477791e-02 9.227520232956493151e-02
