T,n_repeats,burn_in_cycles,production_cycles,E_per_spin_mean,E_per_spin_stderr,E2_per_spin2_mean,E2_per_spin2_stderr,M_per_spin_mean,M_per_spin_stderr,M2_per_spin2_mean,M2_per_spin2_stderr,abs_M_per_spin_mean,abs_M_per_spin_stderr,C_per_spin_mean,C_per_spin_stderr,chi_per_spin_mean,chi_per_spin_stderr,acceptance_rate_mean,acceptance_rate_stderr
0.25,3,100,300,-2.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,3,100,300,-2.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,3,100,300,-2.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3,100,300,-1.9777777777777779,0.018986674989594544,3.9555555555555557,0.03797334997918909,0.5322222222222223,0.23943586443766596,0.9905555555555555,0.008127967169510595,0.5322222222222223,0.23943586443766596,0.1729185185185186,0.14714303185817884,2.3705439814814815,1.1891396810366728,0.0075,0.006291528696058959
1.25,3,100,300,-1.981111111111111,0.01645232543884543,3.962222222222222,0.03290465087769086,0.9929166666666666,0.006468406123441687,0.9921527777777778,0.006930889548843744,0.9929166666666666,0.006468406123441687,0.09441185185185191,0.08197596692450279,0.01979388888888896,0.018805209491317892,0.009166666666666667,0.007371585838730889
1.5,3,100,300,-1.9444444444444446,0.025754059969998362,3.8888888888888893,0.051508119939996724,0.11888888888888889,0.1479482230293114,0.9770833333333333,0.010758959444729493,0.21583333333333332,0.07525919717389537,0.18968559670781895,0.08600649438458971,2.451123765432099,0.08068375256239686,0.02416666666666667,0.007949493345141214
1.75,3,100,300,-1.9072222222222222,0.0222013791140979,3.8144444444444443,0.0444027582281958,-0.05402777777777778,0.14034974776440057,0.9614583333333333,0.009073867391826081,0.18791666666666665,0.059171067911419156,0.22982796674225262,0.0520377608881658,2.1008988095238097,0.03613408626568174,0.04583333333333334,0.006859199013814303
1.8,3,100,300,-1.8150000000000002,0.040046269535422445,3.632222222222223,0.07909987435803413,-0.24763888888888888,0.21107656881149686,0.9229861111111112,0.016971744855989034,0.3151388888888889,0.15987359976317092,0.41332075903063553,0.08384648908208105,1.7167876800411523,0.234683728038411,0.08291666666666667,0.019369398831949103
1.9,3,100,300,-1.8255555555555556,0.01841731606027862,3.6533333333333338,0.03480102169636854,-0.2775,0.25207059196449977,0.927638888888889,0.007376817624938606,0.4008333333333333,0.1473398377146445,0.3545726890325227,0.035831449428487074,1.5232704678362576,0.26569564669350904,0.07458333333333333,0.0036324157862838943
2.0,3,100,300,-1.7644444444444443,0.01587956214217388,3.5288888888888885,0.03175912428434776,-0.14652777777777776,0.23379818939460917,0.9015972222222222,0.00667570278817513,0.2623611111111111,0.1760116810973523,0.4151203703703705,0.02426616513593912,1.5416072916666668,0.24546644112442717,0.1075,0.00832291014809924
2.1,3,100,300,-1.7966666666666666,0.019220937657784643,3.595555555555556,0.0368346321205572,-0.09055555555555556,0.1117258169762582,0.9159722222222223,0.007810262025132973,0.14444444444444446,0.07842648618016684,0.3327034517510708,0.02948837265677899,1.6815363756613755,0.05880707417780097,0.11,0.00832291014809924
2.2,3,100,300,-1.6883333333333332,0.050194067821251985,3.3833333333333333,0.09968468807714169,-0.08166666666666668,0.0484678444377759,0.8701388888888889,0.021435847621953375,0.08166666666666668,0.0484678444377759,0.4362190082644628,0.05948836595797514,1.5614021464646466,0.04878155667851097,0.14291666666666666,0.01299706163373519
2.3,3,100,300,-1.7183333333333335,0.028915585954829143,3.4411111111111112,0.05970090058670983,0.08875,0.11995658937021064,0.8834027777777779,0.012761916484042636,0.18458333333333332,0.035949424350204984,0.36806763285024147,0.030155873688790975,1.4726035628019325,0.0333709788822163,0.15291666666666667,0.013925645805890334
2.4,3,100,300,-1.59,0.043853713048590905,3.1911111111111112,0.08551225455460952,-0.0052777777777777745,0.07700458940948558,0.8298611111111112,0.01801062786383033,0.09194444444444444,0.04143360746013426,0.45775334362139913,0.038664693464377724,1.363289737654321,0.039870400028662725,0.18999999999999997,0.018970920729720352
