L,T,C_per_spin,C_per_spin_stderr,chi_per_spin,chi_per_spin_stderr,E_per_spin,M_per_spin,abs_M_per_spin
4,1.25,0.07793177777777753,0.011691323798459198,0.006184334490741606,0.0008418134267675955,-1.9844444444444445,0.99609375,0.99609375
4,1.5,0.2741213863168713,0.0650974440219843,0.04759002459490741,0.01835537471003277,-1.9373263888888888,0.9815711805555555,0.9815711805555555
4,1.75,0.34848239795918384,0.07489236436511335,2.708809304728836,2.640672777763973,-1.8829166666666666,0.5639930555555556,0.7260243055555556
4,1.8,0.4132189098579668,0.07443707009047361,2.2907564682195214,2.2360520590066195,-1.8636979166666665,0.5133767361111111,0.7735503472222223
4,1.9,0.621608656028778,0.047275239228022445,2.853383391203703,2.183431646329198,-1.7799479166666667,0.5459375,0.64875
4,2.0,0.5851636646412034,0.06757381318991074,0.1820138436776618,0.02889523462501526,-1.7306249999999999,0.3063107638888889,0.9126649305555556
4,2.1,0.6295587121808598,0.03502295143390607,4.124518068989748,1.9527332487567903,-1.7013020833333332,0.18037326388888889,0.4253385416666666
4,2.2,0.8645331511134072,0.1110798438288168,2.816379869660144,1.0060910801946774,-1.564340277777778,-0.581111111111111,0.581111111111111
4,2.3,0.7641687123678494,0.03903632842162854,2.435224025953603,1.39750172194252,-1.5046180555555555,-0.46216145833333333,0.5278211805555556
4,2.4,0.7799843393333652,0.07601983244404209,1.9255052475163967,0.8645623579646415,-1.4925868055555558,-0.08230902777777781,0.6300347222222222
4,2.5,0.6758251087962956,0.060910729018290505,3.3281405208333332,0.9932789498860765,-1.4654340277777778,0.22291666666666665,0.34697916666666667
4,2.6,0.7904905626780631,0.019686043450665297,3.36942715984464,0.09458678643345714,-1.2420833333333332,-0.14282118055555557,0.14282118055555557
4,2.7,0.7529481500533456,0.02906341245024265,3.2905599842463986,0.12049855992737078,-1.2300694444444444,0.028749999999999994,0.12144097222222221
4,2.8,0.7631484913844013,0.03214148220173553,2.889392345610119,0.16130282701605372,-1.180625,-0.10609375,0.12571180555555556
4,3.0,0.5698253906250001,0.005785167982294547,2.1446669680748456,0.10031771134027985,-0.9500173611111111,0.008784722222222227,0.085625
4,3.25,0.4538645778544817,0.023654517302150145,1.7129671518874645,0.05997947474744782,-0.8317881944444445,0.05498263888888888,0.08154513888888888
4,3.5,0.3648076979402873,0.027859549765029214,1.2628027881117727,0.04998851519635806,-0.7148611111111111,-0.10928819444444444,0.10928819444444444
4,4.0,0.22639639937789355,0.003766878786145054,0.9374045057508681,0.031817280784950955,-0.6109027777777778,0.03924479166666667,0.04796006944444444
4,4.5,0.17473978480795607,0.005687834411880304,0.725162868119856,0.004465733661689504,-0.5394791666666667,-0.05449652777777778,0.08690972222222222
4,5.0,0.11935869618055554,0.0063034218765176874,0.542458627025463,0.02053792651871843,-0.43081597222222223,-0.010746527777777778,0.031371527777777776
8,0.25,0.0,0.0,0.0,0.0,-2.0,1.0,1.0
8,0.5,0.0,0.0,0.0,0.0,-2.0,1.0,1.0
8,0.75,0.0030358557138343814,0.002248122589906356,0.00014230573658677613,0.00010538074640179334,-1.99978515625,0.9999462890625,0.9999462890625
8,1.0,0.025749479145905713,0.005207437768100269,0.0018160570209507416,0.0004737561181247632,-1.9970184616815476,0.9992296781994049,0.9992296781994049
8,1.25,0.08495850102305968,0.006518061022116862,0.008465290481672128,0.0012976817097459844,-1.9845821707589286,0.9959129696800595,0.9959129696800595
8,1.5,0.18417241639059512,0.009927084601502083,0.024789083720440724,0.0025399236363062953,-1.9536583891369048,0.9872322591145833,0.9872322591145833
8,1.75,0.36890007578764744,0.015795966018457754,0.07259668967911705,0.004955334675263498,-1.8838192894345236,0.9659225027901784,0.9659225027901784
8,1.8,0.421451374885966,0.01794768798997709,0.09710441120231478,0.008290911420126511,-1.8620821707589288,0.9582776460193453,0.9582776460193453
8,1.9,0.5528956610070958,0.028709278326136404,0.16522621655763084,0.017430142302498584,-1.8103564453125,0.6257066127232144,0.9394524274553572
8,2.0,0.6908607012534596,0.02847398182684586,0.2902816214632817,0.035606320154772005,-1.7492613002232142,0.9145868210565476,0.9145868210565476
8,2.1,0.8241330038436653,0.05336692086870018,4.425823712748387,3.908286651126008,-1.6774221075148812,0.7551206752232144,0.7551206752232144
8,2.2,0.8368530125585035,0.071784341114598,3.191787229796288,2.7217651747411944,-1.6031219773065475,0.36486339750744046,0.7737294224330356
8,2.3,1.109256998843123,0.07465931705790768,5.247890746930408,2.5456368315710725,-1.4596254185267856,0.5559072730654762,0.6125906808035714
8,2.4,1.1672682499975673,0.03907047164730729,11.661105377980101,0.47925264321095185,-1.3259207589285713,0.23573544456845233,0.23573544456845233
8,2.5,1.0881796116237505,0.027703767988105595,9.26381543044525,1.1651099469719297,-1.2328676060267858,0.10389241536458332,0.23102039155505957
8,2.6,0.9227577126185933,0.02738365514322097,7.939485336449432,0.44286097693139725,-1.1390006510416668,0.016827450706845243,0.14760219029017857
8,2.7,0.8015713473723384,0.02614403047723215,6.821261715353391,0.22019089131487926,-1.0463783482142857,0.043004906063988095,0.09279401506696427
8,2.8,0.7055197498650411,0.02765447489214606,5.527998246360682,0.23345975228002994,-0.9724046688988094,0.0802656482514881,0.09125964936755952
8,3.0,0.483270853466169,0.02265646496327187,3.710538057219144,0.2053425747078602,-0.8527548363095239,0.03988188244047619,0.0642085193452381
8,3.25,0.3371894417095611,0.009058093640838698,2.3178638374476335,0.09105715731619977,-0.7374525669642856,0.02431140718005952,0.051017136346726194
8,3.5,0.2648284284844558,0.008261890249469179,1.793934313795796,0.05531609258632362,-0.6701774088541667,0.008462379092261907,0.04956635974702381
8,4.0,0.17122763052830078,0.0029478883094907725,1.0852049726083974,0.03363846431528717,-0.5573960658482143,0.01346284412202381,0.016867792038690477
8,4.5,0.12581417695309222,0.0027291179494470046,0.7434675022912405,0.020519252324859252,-0.48162574404761904,-0.0024431501116071435,0.022303176153273815
8,5.0,0.09785932079247715,0.0011702179372436803,0.5737644723220098,0.010934436278747657,-0.4311848958333333,-0.0005312965029761906,0.004554966517857143
16,0.25,0.0,0.0,0.0,0.0,-2.0,1.0,1.0
16,0.5,4.773621746304949e-05,4.773621746304949e-05,1.4917567909833451e-06,1.4917567909833453e-06,-1.999998508029514,0.9999996270073784,0.9999996270073784
16,0.75,0.0023017908165288477,0.0004586404517973564,0.00010789644453426363,2.1498771174457937e-05,-1.9998372395833333,0.9999593098958334,0.9999593098958334
16,1.0,0.02675215427969609,0.004814940810681732,0.001775921530186982,0.00033967583488357206,-1.9968145073784722,0.9991895209418403,0.9991895209418403
16,1.25,0.08446526356793281,0.00887217577351509,0.008197353197738266,0.0012385407555065653,-1.9843842230902775,0.9958584933810765,0.9958584933810765
16,1.5,0.19707166575837484,0.033524959720154596,0.02687059631702166,0.005199802589789513,-1.9535284423828125,0.9871306694878473,0.9871306694878473
16,1.75,0.4114150183241585,0.03470971853309995,0.09043661830590043,0.007956564045107226,-1.877027384440104,0.9627649943033854,0.9627649943033854
16,1.8,0.3691724630518207,0.010194267905028113,0.09110222119215061,0.014994271412701283,-1.8638751220703125,0.9591015285915798,0.9591015285915798
16,1.9,0.5627869889106739,0.028494693884584907,0.16182343581453307,0.011824927624121644,-1.8175396728515623,0.9420906914605034,0.9420906914605034
16,2.0,0.7089764895174065,0.019142136152696044,0.295541109346028,0.016321523146603716,-1.7526392957899306,0.9152069430881076,0.9152069430881076
16,2.1,0.9686706702635233,0.135120473081665,1.134591198862334,0.39070455702734214,-1.654314439561632,0.8582467990451389,0.8582467990451389
16,2.2,1.3054256894984675,0.191581286788747,2.186208339779068,0.5130017630558256,-1.5330231391059028,0.7829805840386285,0.7829805840386285
16,2.3,1.2499408967543586,0.12326083797048158,4.297896318791565,3.199499598495408,-1.3923183865017361,0.6476262410481771,0.6476262410481771
16,2.4,1.2522482353344688,0.01251271966177129,13.166382223986917,4.7286718764518545,-1.2518780517578125,0.07612152099609376,0.3585502454969618
16,2.5,1.1460178911647108,0.10495386028421111,13.961747651388029,5.521273326087879,-1.1871349419487849,0.2663923814561632,0.34615380181206595
16,2.6,0.9315219083225297,0.07143763492726274,12.566389257140989,3.096309857489752,-1.0600780571831596,-0.065751953125,0.20136888292100694
16,2.7,0.48899953936401835,0.018431563019063055,6.515322305020972,1.5940585781434717,-0.9546367051866319,0.010763041178385417,0.07431711832682292
16,2.8,0.5248572702360049,0.03774113829368013,6.408751876690716,1.14592443616923,-0.9138672553168403,-0.025901658799913196,0.02819007025824653
16,3.0,0.38036674144611293,0.04489440612266594,3.5414598276176563,0.46215047029665635,-0.8110314263237847,0.004274190266927084,0.06195214165581597
16,3.25,0.2901294447227349,0.003894179141399785,2.247101016743978,0.1392369467553131,-0.7305451795789931,-0.008959825303819443,0.017742106119791667
16,3.5,0.25916827041672125,0.006547521638838134,1.7670367234010547,0.2805755975378468,-0.6669300672743055,-0.0044430541992187475,0.03252811008029514
16,4.0,0.16012553408278377,0.013187700139120056,1.0995152713967695,0.06710814607881799,-0.5598194715711805,-2.9602050781250253e-05,0.00805877685546875
16,4.5,0.12282958955960994,0.0066380536497913055,0.6642889027779976,0.07510250068405096,-0.4826675754123264,-0.012411363389756944,0.014095662434895831
16,5.0,0.09227520232956493,0.00473129569199569,0.5767105099328359,0.04629451291109961,-0.4257373046875,-0.0038585747612847224,0.0038585747612847224
32,0.25,0.0,0.0,0.0,0.0,-2.0,1.0,1.0
32,0.5,0.0,0.0,0.0,0.0,-2.0,1.0,1.0
32,0.75,0.0024965233271898426,0.0011756750534560345,0.0001170245309872876,5.5109768032800075e-05,-1.9998447163899742,0.9999611790974935,0.9999611790974935
32,1.0,0.025746128811836872,0.002795875404983378,0.0016816064299973732,0.00021001491980616687,-1.9971798578898114,0.9992851448059081,0.9992851448059081
32,1.25,0.08888690118813732,0.007054158842717163,0.008256276795873417,0.0006627047240059512,-1.9849033186170788,0.996036900414361,0.996036900414361
32,1.5,0.1873085622563748,0.003545431343769117,0.02460882099719836,0.00033479927353551736,-1.953764313591851,0.9873042954338921,0.9873042954338921
32,1.75,0.3754070055378315,0.015885657381962483,0.07805336606311573,0.0013016916915432077,-1.8797484885321722,0.9642245165506997,0.9642245165506997
32,1.8,0.39987884808903423,0.004908649275679725,0.09949445400825087,0.0025031231540988685,-1.8586493301391602,0.9567566511366103,0.9567566511366103
32,1.9,0.5147791365614287,0.02571618679148202,0.15790760147458635,0.0007474329858735304,-1.8086101235283747,0.9387356334262424,0.9387356334262424
32,2.0,0.7383766717489001,0.11297166003856579,0.34487469578056107,0.07439535905292552,-1.7474799558851455,0.9121416600545248,0.9121416600545248
32,2.1,0.9401651158780293,0.036433060939295644,0.6639473268672819,0.09084266487589637,-1.661626336839464,0.8715233018663194,0.8715233018663194
32,2.2,1.3912385614633962,0.1326145301606545,1.9703822108200448,0.5253770180444189,-1.5525125842624241,0.8007081582811143,0.8007081582811143
32,2.3,1.072004180222853,0.12303468440220143,2.9163325892355583,0.6215529312252664,-1.3997785653008357,0.6426761711968316,0.6426761711968316
32,2.4,0.9891721427656291,0.0891468040551103,12.066839160681509,3.056893941948172,-1.2226437081231012,0.339116391075982,0.339116391075982
32,2.5,0.8308583932881568,0.03311106011080634,12.311175955342376,3.676524982008719,-1.1110481686062281,0.15760645548502605,0.15760645548502605
32,2.6,0.6860538987922662,0.018525501284507667,8.000583215743843,2.7109486804322227,-1.0288060633341471,0.05046498616536459,0.06118768903944228
32,2.7,0.5706715645912187,0.05149874570200473,4.779262845722358,1.0784992019365987,-0.9576534186469184,-0.014814173380533854,0.045971535576714406
32,2.8,0.5844859109268566,0.06496370205690354,5.761024075713629,1.587488204336995,-0.9122908994886609,-0.006020291646321615,0.017716471354166666
32,3.0,0.4105400269228481,0.0133952240349335,3.2624051908571645,0.4759423711487574,-0.8139775297376844,0.0174859258863661,0.0174859258863661
32,3.25,0.2830023913377017,0.013075549028737405,2.832093736953439,0.2659941291895793,-0.7285797924465602,0.0079433716668023,0.02942424986097548
32,3.5,0.2702368963443891,0.007406973376766794,1.4888999528813731,0.11206201298428027,-0.6530927742852105,-0.007134600745307075,0.007134600745307075
32,4.0,0.1808116334554176,0.007958416823516664,0.9009301480625204,0.05068777068022777,-0.5634438027275933,0.0025070593092176648,0.002895751529269748
32,4.5,0.1293223799911523,0.0037426818916817817,0.6785884221807367,0.036230209567846026,-0.4843068228827582,0.003171903822157118,0.0044181357489691845
32,5.0,0.09834822897043827,0.0033833719982569333,0.5715440333280464,0.02535626956284911,-0.4285746637980143,-0.001042374504937066,0.005681593153211806
