T,n_repeats,burn_in_cycles,production_cycles,E_per_spin_mean,E_per_spin_stderr,E2_per_spin2_mean,E2_per_spin2_stderr,M_per_spin_mean,M_per_spin_stderr,M2_per_spin2_mean,M2_per_spin2_stderr,abs_M_per_spin_mean,abs_M_per_spin_stderr,C_per_spin_mean,C_per_spin_stderr,chi_per_spin_mean,chi_per_spin_stderr,acceptance_rate_mean,acceptance_rate_stderr
0.25,3,100,300,-2.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,3,100,300,-1.999998508029514,1.4919704861190062e-06,3.9999940787421333,5.921257866692287e-06,0.9999996270073784,3.7299262152975154e-07,0.9999992569287618,7.430712382072714e-07,0.9999996270073784,3.7299262152975154e-07,4.773621746304949e-05,4.773621746304949e-05,1.4917567909833451e-06,1.4917567909833453e-06,6.510416666666667e-06,6.510416666666667e-06
0.75,3,100,300,-1.9998372395833333,3.26054453573641e-05,3.999354044596354,0.00012940286126212524,0.9999593098958334,8.151361339337678e-06,0.9999189376831055,1.6239040168236265e-05,0.9999593098958334,8.151361339337678e-06,0.0023017908165288477,0.0004586404517973564,0.00010789644453426363,2.1498771174457937e-05,2.604166666666667e-05,6.510416666666667e-06
1.0,3,100,300,-1.9968145073784722,0.000523170345201044,3.9873732248942058,0.002070740383928831,0.9991895209418403,0.00013585692365351992,0.998386672867669,0.0002701693368680247,0.9991895209418403,0.00013585692365351992,0.02675215427969609,0.004814940810681732,0.001775921530186982,0.00033967583488357206,0.0008203125,0.00012556836928376245
1.25,3,100,300,-1.9843842230902775,0.000447518087776011,3.93829668045044,0.0017362265411345207,0.9958584933810765,0.00016576927720571999,0.9917742199367948,0.00032500213199764287,0.9958584933810765,0.00016576927720571999,0.08446526356793281,0.00887217577351509,0.008197353197738266,0.0012385407555065653,0.004287109375,6.835937500000007e-05
1.5,3,100,300,-1.9535284423828125,0.00313195793309778,3.818025068706936,0.011944447131286584,0.9871306694878473,0.0010268164151664304,0.9745865122477214,0.0019964616898030447,0.9871306694878473,0.0010268164151664304,0.19707166575837484,0.033524959720154596,0.02687059631702166,0.005199802589789513,0.012978515625000001,0.0005458567995263896
1.75,3,100,300,-1.877027384440104,0.010934231103745489,3.528392629623413,0.04055730162812377,0.9627649943033854,0.0039263243011438765,0.9275654853714838,0.007495762770575815,0.9627649943033854,0.0039263243011438765,0.4114150183241585,0.03470971853309995,0.09043661830590043,0.007956564045107226,0.03498697916666666,0.002587321412767136
1.8,3,100,300,-1.8638751220703125,0.004780913404546572,3.478748523924086,0.01768071890473252,0.9591015285915798,0.0014040030405679522,0.9205202470885383,0.0026809526591648767,0.9591015285915798,0.0014040030405679522,0.3691724630518207,0.010194267905028113,0.09110222119215061,0.014994271412701283,0.04070963541666667,0.0010016683860082783
1.9,3,100,300,-1.8175396728515623,0.0015280306054807203,3.3113913080427384,0.005337379787804862,0.9420906914605034,0.0005996432061088927,0.8887366233931647,0.0010468336438598784,0.9420906914605034,0.0005996432061088927,0.5627869889106739,0.028494693884584907,0.16182343581453307,0.011824927624121644,0.05565104166666667,0.0010690918928933574
2.0,3,100,300,-1.7526392957899306,0.011572035443873804,3.0830900828043624,0.04045740752837151,0.9152069430881076,0.00542069035547697,0.8399714313613044,0.009869478346687806,0.9152069430881076,0.00542069035547697,0.7089764895174065,0.019142136152696044,0.295541109346028,0.016321523146603716,0.07930013020833333,0.002073782326347538
2.1,3,100,300,-1.654314439561632,0.010698675000107665,2.753672054078844,0.033177124996680366,0.8582467990451389,0.01340264799549889,0.7462540234459771,0.01996335352244958,0.8582467990451389,0.01340264799549889,0.9686706702635233,0.135120473081665,1.134591198862334,0.39070455702734214,0.11238932291666666,0.004832449689746742
2.2,3,100,300,-1.5330231391059028,0.012295254574053149,2.375142996046278,0.03423399674047698,0.7829805840386285,0.012737816875279064,0.6321708268589444,0.016633045217596246,0.7829805840386285,0.012737816875279064,1.3054256894984675,0.191581286788747,2.186208339779068,0.5130017630558256,0.15097981770833332,0.002333271479922131
2.3,3,100,300,-1.3923183865017361,0.06740902365721323,1.9734672991434732,0.18112455347512474,0.6476262410481771,0.11438533593600886,0.4842016704877217,0.10651144259485497,0.6476262410481771,0.11438533593600886,1.2499408967543586,0.12326083797048158,4.297896318791565,3.199499598495408,0.2031640625,0.023968799682194335
2.4,3,100,300,-1.2518780517578125,0.04912107302757478,1.6002000013987223,0.12368527560955357,0.07612152099609376,0.2995875572530795,0.3087347282303704,0.0855254725154482,0.3585502454969618,0.16843636236656487,1.2522482353344688,0.01251271966177129,13.166382223986917,4.7286718764518545,0.2570703125,0.009239313499412694
2.5,3,100,300,-1.1871349419487849,0.025421582988738985,1.4385608365800646,0.06177207653394604,0.2663923814561632,0.20093272808901882,0.2880580152405633,0.039847878829316855,0.34615380181206595,0.1262742428675184,1.1460178911647108,0.10495386028421111,13.961747651388029,5.521273326087879,0.284619140625,0.007902092485114977
2.6,3,100,300,-1.0600780571831596,0.018568527784218525,1.1490530681610107,0.041161740065555806,-0.065751953125,0.1378866949493325,0.1699761915206909,0.022392630011080692,0.20136888292100694,0.029994779704129792,0.9315219083225297,0.07143763492726274,12.566389257140989,3.096309857489752,0.34296223958333333,0.004680225520410535
2.7,3,100,300,-0.9546367051866319,0.017954165822058533,0.925900968975491,0.0344701866626879,0.010763041178385417,0.055482635598645344,0.07498877869711983,0.016185527706206373,0.07431711832682292,0.019357875463861675,0.48899953936401835,0.018431563019063055,6.515322305020972,1.5940585781434717,0.3762076822916667,0.00829962142121804
2.8,3,100,300,-0.9138672553168403,0.006908742063645214,0.8513225756751166,0.013328554371926888,-0.025901658799913196,0.024085915875325017,0.0719268822669983,0.0119671076091627,0.02819007025824653,0.02276486936629236,0.5248572702360049,0.03774113829368013,6.408751876690716,1.14592443616923,0.40751953125,0.0016673881240825005
3.0,3,100,300,-0.8110314263237847,0.008608659033879492,0.6712924607594809,0.015568252298366014,0.004274190266927084,0.04821002398375884,0.04616816388236152,0.007694277009932665,0.06195214165581597,0.020354528632773733,0.38036674144611293,0.04489440612266594,3.5414598276176563,0.46215047029665635,0.459873046875,0.002392338954882605
3.25,3,100,300,-0.7305451795789931,0.008228620694599767,0.5458023526933459,0.011996124841520368,-0.008959825303819443,0.015719797907598608,0.029102152188618977,0.0017868265045019758,0.017742106119791667,0.011395618289950253,0.2901294447227349,0.003894179141399785,2.247101016743978,0.1392369467553131,0.5009309895833333,0.0017985224888135316
3.5,3,100,300,-0.6669300672743055,0.011142122963721383,0.45744561513264975,0.015004273507189279,-0.0044430541992187475,0.026506231603709685,0.025583606561024985,0.00397854739598414,0.03252811008029514,0.01354295781726417,0.25916827041672125,0.006547521638838134,1.7670367234010547,0.2805755975378468,0.5424414062499999,0.004652890762298446
4.0,3,100,300,-0.5598194715711805,0.0035305778777699253,0.3234306165907118,0.003660672367785765,-2.9602050781250253e-05,0.0060488672045811605,0.017253104580773247,0.0010538880486951972,0.00805877685546875,0.002029110740261195,0.16012553408278377,0.013187700139120056,1.0995152713967695,0.06710814607881799,0.6078483072916666,0.0015596219152933105
4.5,3,100,300,-0.4826675754123264,0.006652822829652887,0.24277252091301812,0.006921074807806076,-0.012411363389756944,0.00875950600652965,0.011984453201293946,0.0012763081633609264,0.014095662434895831,0.0073760467959105135,0.12282958955960994,0.0066380536497913055,0.6642889027779976,0.07510250068405096,0.6560774739583334,0.0015972528132213318
5.0,3,100,300,-0.4257373046875,0.004253470680880969,0.19029968685573997,0.00387318623852657,-0.0038585747612847224,0.0016135847902502805,0.011283973058064778,0.0008965842536962765,0.0038585747612847224,0.0016135847902502805,0.09227520232956493,0.00473129569199569,0.5767105099328359,0.04629451291109961,0.6917740885416667,0.0011813895078669
