L,T,E_per_spin_mean,E_per_spin_stderr,abs_M_per_spin_mean,abs_M_per_spin_stderr,acceptance_rate_mean
8,2.3,-1.4596254185267856,0.023185271805748656,0.6125906808035714,0.10736123197106236,0.18488802083333333
8,2.4,-1.3259207589285713,0.027960620602593595,0.23573544456845233,0.05394869077586966,0.23188802083333335
8,2.5,-1.2328676060267858,0.010871953752196087,0.23102039155505957,0.0730841722078042,0.27637500000000004
8,2.6,-1.1390006510416668,0.028373446447912183,0.14760219029017857,0.0739503205736313,0.3130338541666667
8,2.7,-1.0463783482142857,0.019859450727916513,0.09279401506696427,0.03299879140020274,0.35501562500000006
8,2.8,-0.9724046688988094,0.013827629778849654,0.09125964936755952,0.02963091230413465,0.3902005208333334
8,3.0,-0.8527548363095239,0.013911304463767047,0.0642085193452381,0.016820743305272723,0.447484375
8,3.25,-0.7374525669642856,0.005208294337120163,0.051017136346726194,0.010661369418337624,0.5059453125000001
8,3.5,-0.6701774088541667,0.006468914653990032,0.04956635974702381,0.012369100524846544,0.5452682291666666
8,4.0,-0.5573960658482143,0.004322751883361438,0.016867792038690477,0.0058599132269304246,0.60740625
8,4.5,-0.48162574404761904,0.00481141182739971,0.022303176153273815,0.005521882919417597,0.656296875
8,5.0,-0.4311848958333333,0.004349537080850748,0.004554966517857143,0.0015362263604122017,0.6920468750000001
16,0.25,-2.0,0.0,1.0,0.0,0.0
16,0.5,-1.999998508029514,1.4919704861190062e-06,0.9999996270073784,3.7299262152975154e-07,6.510416666666667e-06
16,0.75,-1.9998372395833333,3.26054453573641e-05,0.9999593098958334,8.151361339337678e-06,2.604166666666667e-05
16,1.0,-1.9968145073784722,0.000523170345201044,0.9991895209418403,0.00013585692365351992,0.0008203125
16,1.25,-1.9843842230902775,0.000447518087776011,0.9958584933810765,0.00016576927720571999,0.004287109375
16,1.5,-1.9535284423828125,0.00313195793309778,0.9871306694878473,0.0010268164151664304,0.012978515625000001
16,1.75,-1.877027384440104,0.010934231103745489,0.9627649943033854,0.0039263243011438765,0.03498697916666666
16,1.8,-1.8638751220703125,0.004780913404546572,0.9591015285915798,0.0014040030405679522,0.04070963541666667
16,1.9,-1.8175396728515623,0.0015280306054807203,0.9420906914605034,0.0005996432061088927,0.05565104166666667
16,2.0,-1.7526392957899306,0.011572035443873804,0.9152069430881076,0.00542069035547697,0.07930013020833333
16,2.1,-1.654314439561632,0.010698675000107665,0.8582467990451389,0.01340264799549889,0.11238932291666666
16,2.2,-1.5330231391059028,0.012295254574053149,0.7829805840386285,0.012737816875279064,0.15097981770833332
16,2.3,-1.3923183865017361,0.06740902365721323,0.6476262410481771,0.11438533593600886,0.2031640625
16,2.4,-1.2518780517578125,0.04912107302757478,0.3585502454969618,0.16843636236656487,0.2570703125
16,2.5,-1.1871349419487849,0.025421582988738985,0.34615380181206595,0.1262742428675184,0.284619140625
16,2.6,-1.0600780571831596,0.018568527784218525,0.20136888292100694,0.029994779704129792,0.34296223958333333
16,2.7,-0.9546367051866319,0.017954165822058533,0.07431711832682292,0.019357875463861675,0.3762076822916667
16,2.8,-0.9138672553168403,0.006908742063645214,0.02819007025824653,0.02276486936629236,0.40751953125
16,3.0,-0.8110314263237847,0.008608659033879492,0.06195214165581597,0.020354528632773733,0.459873046875
16,3.25,-0.7305451795789931,0.008228620694599767,0.017742106119791667,0.011395618289950253,0.5009309895833333
16,3.5,-0.6669300672743055,0.011142122963721383,0.03252811008029514,0.01354295781726417,0.5424414062499999
16,4.0,-0.5598194715711805,0.0035305778777699253,0.00805877685546875,0.002029110740261195,0.6078483072916666
16,4.5,-0.4826675754123264,0.006652822829652887,0.014095662434895831,0.0073760467959105135,0.6560774739583334
16,5.0,-0.4257373046875,0.004253470680880969,0.0038585747612847224,0.0016135847902502805,0.6917740885416667
32,0.25,-2.0,0.0,1.0,0.0,0.0
32,0.5,-2.0,0.0,1.0,0.0,0.0
32,0.75,-1.9998447163899742,6.164055564136446e-05,0.9999611790974935,1.541013891031047e-05,4.3945312500000005e-05
32,1.0,-1.9971798578898114,0.00019895015656009904,0.9992851448059081,5.4978060143378336e-05,0.00077880859375
32,1.25,-1.9849033186170788,0.00035093733602194,0.996036900414361,8.67604079648272e-05,0.00385986328125
32,1.5,-1.953764313591851,0.0007074159524909766,0.9873042954338921,0.00021342930006563107,0.013029785156250001
