T,n_repeats,burn_in_cycles,production_cycles,E_per_spin_mean,E_per_spin_stderr,E2_per_spin2_mean,E2_per_spin2_stderr,M_per_spin_mean,M_per_spin_stderr,M2_per_spin2_mean,M2_per_spin2_stderr,abs_M_per_spin_mean,abs_M_per_spin_stderr,C_per_spin_mean,C_per_spin_stderr,chi_per_spin_mean,chi_per_spin_stderr,acceptance_rate_mean,acceptance_rate_stderr
0.25,6,300,700,-2.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,6,300,700,-2.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,6,300,700,-1.99978515625,0.00015936455277049182,3.9991674804687505,0.0006175376419856568,0.9999462890625,3.9841138192622954e-05,0.9998942565917969,7.843724081672182e-05,0.9999462890625,3.9841138192622954e-05,0.0030358557138343814,0.002248122589906356,0.00014230573658677613,0.00010538074640179334,5.7291666666666666e-05,2.1973982405967697e-05
1.0,6,300,700,-1.9970184616815476,0.0005098652666175219,3.98848637172154,0.001955934484372408,0.9992296781994049,0.0001430661247226883,0.9984884280250186,0.0002786393197530298,0.9992296781994049,0.0001430661247226883,0.025749479145905713,0.005207437768100269,0.0018160570209507416,0.0004737561181247632,0.0007604166666666666,2.0833333333333336e-05
1.25,6,300,700,-1.9845821707589286,0.0008339112606840588,3.9406440516880585,0.0031533784579750243,0.9959129696800595,0.00027470044992114674,0.9920083581833611,0.0005225963933338933,0.9959129696800595,0.00027470044992114674,0.08495850102305968,0.006518061022116862,0.008465290481672128,0.0012976817097459844,0.004286458333333334,0.00010625510608645794
1.5,6,300,700,-1.9536583891369048,0.0015564547798223578,3.823268025716146,0.005771491557731292,0.9872322591145833,0.0005401449126699218,0.9752099863688151,0.0010119258203251688,0.9872322591145833,0.0005401449126699218,0.18417241639059512,0.009927084601502083,0.024789083720440724,0.0025399236363062953,0.013463541666666667,0.0005785143208637489
1.75,6,300,700,-1.8838192894345236,0.002662796158585041,3.566463012695312,0.009451807835937541,0.9659225027901784,0.0009517735079600659,0.9349958764939083,0.001731270881318848,0.9659225027901784,0.0009517735079600659,0.36890007578764744,0.015795966018457754,0.07259668967911705,0.004955334675263498,0.033692708333333335,0.0006406207655686609
1.8,6,300,700,-1.8620821707589288,0.0010142609815185363,3.488691130138579,0.003397029038204006,0.9582776460193453,0.0005931312901284322,0.9210288674490793,0.0009395645743517751,0.9582776460193453,0.0005931312901284322,0.421451374885966,0.01794768798997709,0.09710441120231478,0.008290911420126511,0.04065625,0.001160899996590289
1.9,6,300,700,-1.8103564453125,0.006115980795360132,3.308764256068638,0.021101315573503886,0.6257066127232144,0.3133995438011578,0.8875102887834821,0.004497095081112056,0.9394524274553572,0.002618091964177117,0.5528956610070958,0.028709278326136404,0.16522621655763084,0.017430142302498584,0.058546875000000005,0.0017400152283217727
2.0,6,300,700,-1.7492613002232142,0.007995575628185836,3.1034135364350823,0.02638817202171643,0.9145868210565476,0.0040513360016270795,0.8456224205380395,0.006395290319163147,0.9145868210565476,0.0040513360016270795,0.6908607012534596,0.02847398182684586,0.2902816214632817,0.035606320154772005,0.07748177083333332,0.001524711895742066
