T,n_repeats,burn_in_cycles,production_cycles,E_per_spin_mean,E_per_spin_stderr,E2_per_spin2_mean,E2_per_spin2_stderr,M_per_spin_mean,M_per_spin_stderr,M2_per_spin2_mean,M2_per_spin2_stderr,abs_M_per_spin_mean,abs_M_per_spin_stderr,C_per_spin_mean,C_per_spin_stderr,chi_per_spin_mean,chi_per_spin_stderr,acceptance_rate_mean,acceptance_rate_stderr
2.4,3,100,300,-1.2226437081231012,0.03646780990067324,1.5030815326339668,0.08853762015359,0.339116391075982,0.13076807234961288,0.17748215847131277,0.07952045981669519,0.339116391075982,0.13076807234961288,0.9891721427656291,0.0891468040551103,12.066839160681509,3.056893941948172,0.26420735677083335,0.01354638059193722
2.5,3,100,300,-1.1110481686062281,0.01096627453232664,1.2397397085030875,0.02443116465708191,0.15760645548502605,0.02712053192319426,0.05636742323637009,0.012153815546971806,0.15760645548502605,0.02712053192319426,0.8308583932881568,0.03311106011080634,12.311175955342376,3.676524982008719,0.31171630859375005,0.0033204617934228615
2.6,3,100,300,-1.0288060633341471,0.006183432233618838,1.0630474133127266,0.012840245059269749,0.05046498616536459,0.05570576243313326,0.0290669595864084,0.003592756858489698,0.06118768903944228,0.05004520693930797,0.6860538987922662,0.018525501284507667,8.000583215743843,2.7109486804322227,0.3518359375,0.0016627147631450537
2.7,3,100,300,-0.9576534186469184,0.011405570154351282,0.9214229354262352,0.022337110456606437,-0.014814173380533854,0.0320383147732134,0.014873938916458024,0.002571123342497964,0.045971535576714406,0.008915853203210745,0.5706715645912187,0.05149874570200473,4.779262845722358,1.0784992019365987,0.3834244791666666,0.004585986597627635
2.8,3,100,300,-0.9122908994886609,0.0030575013272775725,0.8367683521740966,0.006068906596147303,-0.006020291646321615,0.012052191974522423,0.01607955478131771,0.004330811435452767,0.017716471354166666,0.0025378354010107775,0.5844859109268566,0.06496370205690354,5.761024075713629,1.587488204336995,0.40819661458333334,0.0011984307112232807
3.0,3,100,300,-0.8139775297376844,0.005159505027123776,0.6662209218574895,0.008464390967045203,0.0174859258863661,0.005510308936687212,0.009924312320848306,0.0015457488478249955,0.0174859258863661,0.005510308936687212,0.4105400269228481,0.0133952240349335,3.2624051908571645,0.4759423711487574,0.4576432291666667,0.0014383352681747736
3.25,3,100,300,-0.7285797924465602,0.004387305365000891,0.5337861639426814,0.006504640281788507,0.0079433716668023,0.02031626065218862,0.00987717680219147,0.0007941431291535266,0.02942424986097548,0.003377244981577248,0.2830023913377017,0.013075549028737405,2.832093736953439,0.2659941291895793,0.50549560546875,0.001600269322775335
3.5,3,100,300,-0.6530927742852105,0.0034987311225511894,0.4297874684962961,0.0045745068412634685,-0.007134600745307075,0.003056315747130017,0.005158598170512252,0.0003611407275804648,0.007134600745307075,0.003056315747130017,0.2702368963443891,0.007406973376766794,1.4888999528813731,0.11206201298428027,0.5462329101562501,0.0005891955184166896
4.0,3,100,300,-0.5634438027275933,0.0007027102930700488,0.320295088208384,0.0006802879413849176,0.0025070593092176648,0.0021494546655724616,0.003534784047967858,0.00019987026110646202,0.002895751529269748,0.0018894814340672036,0.1808116334554176,0.007958416823516664,0.9009301480625204,0.05068777068022777,0.6056168619791666,0.0007686906710700729
4.5,3,100,300,-0.4843068228827582,0.002357971814127826,0.2371216193338235,0.0023470185572712905,0.003171903822157118,0.004023835884050439,0.003024521511462,0.00015369932558176576,0.0044181357489691845,0.003385525129447379,0.1293223799911523,0.0037426818916817817,0.6785884221807367,0.036230209567846026,0.6536637369791667,0.000774566460080726
5.0,3,100,300,-0.4285746637980143,0.0011845481536759412,0.18608012856708633,0.0009395046375975209,-0.001042374504937066,0.0046035884971634316,0.002834214948945575,0.0001241518729796004,0.005681593153211806,0.002365596959791593,0.09834822897043827,0.0033833719982569333,0.5715440333280464,0.02535626956284911,0.6906868489583333,0.0003882688885807745
